Id,RecipeId,IngredientId,Role,Quantity,Unit,CreatedAtUtc
26dc9d23-8b0b-5a87-975a-94c3bb537ec8,0c31ce2b-b201-5ba6-97f7-1b5e7cebd1a3,4aa734a0-82be-4946-95ac-eef167abfdb6,Mandatory,1.00,adet,2026-04-20 08:00:00.000000+00
4c2eeade-5488-5fe1-96d2-a628d1ef5aac,0c31ce2b-b201-5ba6-97f7-1b5e7cebd1a3,ee000116-0000-0000-0000-000000000000,Mandatory,120.00,gram,2026-04-20 08:04:00.000000+00
b15b79ca-93ee-5ec1-a127-a6a978001805,0c31ce2b-b201-5ba6-97f7-1b5e7cebd1a3,ee00000e-0000-0000-0000-000000000000,Mandatory,80.00,gram,2026-04-20 08:08:00.000000+00
df1e1825-eafb-5d1d-9510-92bacee05135,0c31ce2b-b201-5ba6-97f7-1b5e7cebd1a3,5c061912-16b1-5e7a-9046-43d3c488fbd6,Optional,30.00,gram,2026-04-20 08:12:00.000000+00
6f4f4d04-38c7-5eac-bb37-6f7c278983e4,0c31ce2b-b201-5ba6-97f7-1b5e7cebd1a3,ee000035-0000-0000-0000-000000000000,Flavoring,1.00,gram,2026-04-20 08:16:00.000000+00
8ec9ebb9-15ef-54fe-9075-2e7582e19993,dcd05558-9eeb-557f-9afa-6f04bd9ca919,5dd13ea7-efdf-47db-a622-863d76173ade,Mandatory,140.00,gram,2026-04-20 08:15:00.000000+00
846f6afd-7e91-55db-895c-ae06ee8ade6a,dcd05558-9eeb-557f-9afa-6f04bd9ca919,ee000014-0000-0000-0000-000000000000,Mandatory,120.00,gram,2026-04-20 08:19:00.000000+00
66f1987c-b8a6-59ab-83b3-c1f00d0a07c4,dcd05558-9eeb-557f-9afa-6f04bd9ca919,7efb8124-685c-47b6-a0cc-abfbff03c5ec,Mandatory,100.00,gram,2026-04-20 08:23:00.000000+00
012f1515-ccf7-599b-98ed-653c7d102f42,dcd05558-9eeb-557f-9afa-6f04bd9ca919,ee000031-0000-0000-0000-000000000000,Flavoring,10.00,ml,2026-04-20 08:27:00.000000+00
b84fbaf0-ecd9-530c-8657-5a132b7e26cc,dcd05558-9eeb-557f-9afa-6f04bd9ca919,311104cb-92a8-4e64-bb18-d22461effebe,Flavoring,2.00,gram,2026-04-20 08:31:00.000000+00
1e17667c-bb88-5a0c-a70e-01cf122819a1,09973727-4633-5834-a3f8-c7e0889b15a9,535e01d4-e726-4414-8830-07ce3185ee3b,Mandatory,60.00,gram,2026-04-20 08:30:00.000000+00
0ccab7cb-83b1-5ebc-9bf7-f49feeed2d2d,09973727-4633-5834-a3f8-c7e0889b15a9,55c208f2-9e34-429f-b542-17d8da77cbd5,Mandatory,120.00,gram,2026-04-20 08:34:00.000000+00
69a59a7d-54cf-525f-9557-082352274e6d,09973727-4633-5834-a3f8-c7e0889b15a9,ee00000f-0000-0000-0000-000000000000,Mandatory,90.00,gram,2026-04-20 08:38:00.000000+00
3330762f-5b8c-5f45-88fb-275c50201851,09973727-4633-5834-a3f8-c7e0889b15a9,ee000031-0000-0000-0000-000000000000,Flavoring,8.00,ml,2026-04-20 08:42:00.000000+00
797fe5f6-7b1f-55af-8c8e-e2c33e9739f0,09973727-4633-5834-a3f8-c7e0889b15a9,ee000019-0000-0000-0000-000000000000,Flavoring,2.00,gram,2026-04-20 08:46:00.000000+00
d866084c-431c-5f91-9b34-7cf4178ba262,35c8c444-28b9-556c-b010-9ba04027e86a,df57c33b-ad12-4edd-b30a-526a6b5069e1,Mandatory,60.00,gram,2026-04-20 08:45:00.000000+00
9f90e92a-085f-5916-bbf4-c1f4b9dfff17,35c8c444-28b9-556c-b010-9ba04027e86a,0173f8d6-05b2-5952-bb09-fccc1a500d89,Mandatory,120.00,gram,2026-04-20 08:49:00.000000+00
2eb4182f-f35b-5d4f-8f39-a290b2f5795c,35c8c444-28b9-556c-b010-9ba04027e86a,7efb8124-685c-47b6-a0cc-abfbff03c5ec,Mandatory,90.00,gram,2026-04-20 08:53:00.000000+00
b25fcd1b-1279-5dc4-b05f-c4253f08e47c,35c8c444-28b9-556c-b010-9ba04027e86a,ee000031-0000-0000-0000-000000000000,Flavoring,8.00,ml,2026-04-20 08:57:00.000000+00
9c1b1ee6-a36c-57e9-96ea-cfe4621e40fd,35c8c444-28b9-556c-b010-9ba04027e86a,311104cb-92a8-4e64-bb18-d22461effebe,Flavoring,2.00,gram,2026-04-20 09:01:00.000000+00
2482ff76-61ab-5505-bd8e-e43b72d399e4,59831755-0ff7-52ff-8ad8-86446d457bb8,535e01d4-e726-4414-8830-07ce3185ee3b,Mandatory,60.00,gram,2026-04-20 09:00:00.000000+00
546e6030-4f85-54e1-a3b1-b88d11a5fdf9,59831755-0ff7-52ff-8ad8-86446d457bb8,969a53b4-6b34-4461-8b02-1e70bf990db3,Mandatory,120.00,gram,2026-04-20 09:04:00.000000+00
513110d6-2c2c-51aa-90a3-be8d3efdfce2,59831755-0ff7-52ff-8ad8-86446d457bb8,ee000016-0000-0000-0000-000000000000,Mandatory,90.00,gram,2026-04-20 09:08:00.000000+00
927c9cff-59dd-50d2-a1fa-6c1d8a3c8d63,59831755-0ff7-52ff-8ad8-86446d457bb8,ee000031-0000-0000-0000-000000000000,Flavoring,8.00,ml,2026-04-20 09:12:00.000000+00
74d37e29-a026-596d-88a5-ad36a178965d,59831755-0ff7-52ff-8ad8-86446d457bb8,29f6d894-da5c-42bb-b47f-1958ea378b11,Flavoring,2.00,gram,2026-04-20 09:16:00.000000+00
