Id,Name,IsMandatory,IsProhibited,CanonicalName,Aliases,IsActive,IsCondiment
214b3097-5846-41d1-8ef7-ba16a9d86b78,Acı Biber Salçası,false,false,Acı Biber Salçası,"[""acı biber salçası"", ""hot pepper paste"", ""aci biber salcasi""]",true,true
1d1e6ccf-1c7b-4e7f-b750-7513d8972936,Acı Sivri Biber,false,false,Acı Sivri Biber,"[""acı sivri biber"", ""hot green pepper"", ""acı biber"", ""aci sivri biber""]",true,false
4777b4f6-e057-41c7-ba89-1dee2d441ce0,Acı Sos,false,false,Acı Sos,"[""acı sos"", ""hot sauce"", ""chili sauce"", ""aci sos""]",true,true
ab852f32-78fb-49fd-b8e4-6d244688adaf,Acı Toz Biber,false,false,Acı Toz Biber,"[""acı toz biber"", ""hot paprika"", ""aleppo pepper"", ""aci toz biber""]",true,true
cc4b8e59-f41d-44b7-b2ec-6d4a2bdfc569,Adaçayı,false,false,Adaçayı,"[""adaçayı"", ""sage"", ""adacayi"", ""taze adaçayı""]",true,true
a0313c03-383c-4f8d-a425-460ab8a5c990,Ahtapot,false,false,Ahtapot,"[""ahtapot"", ""octopus"", ""taze ahtapot""]",true,false
646785fd-8f20-41a2-a244-a787ebcbd05e,Ahududu,false,false,Ahududu,"[""ahududu"", ""raspberry"", ""frambuaz"", ""taze ahududu""]",true,false
4afc7549-a5a5-42f5-a838-0ab634bc9c5b,Alabalık,false,false,Alabalık,"[""alabalık"", ""trout"", ""alabalik"", ""taze alabalık""]",true,false
5879dcd5-b6ee-4bca-b512-fce4b96ae959,Ananas,false,false,Ananas,"[""ananas"", ""pineapple"", ""taze ananas""]",true,false
9828e019-139f-48cb-89d7-693ae0b873cc,Anason,false,false,Anason,"[""anason"", ""anise"", ""taze anason""]",true,true
18a4939f-6e3e-43e3-8875-9c19d984153c,Antep Fıstığı,false,false,Antep Fıstığı,"[""antep fıstığı"", ""pistachio"", ""pistachios"", ""antep fistigi""]",true,false
aa2dc2c3-3701-456b-8cd9-ea608cedc56a,Arpa Şehriye,false,false,Arpa Şehriye,"[""arpa şehriye"", ""orzo"", ""toasted orzo"", ""arpa sehriye""]",true,false
2080d447-b748-4452-97b6-8526c04bceed,Asma Yaprağı,false,false,Asma Yaprağı,"[""asma yaprağı"", ""vine leaves"", ""üzüm yaprağı"", ""sarma yaprağı"", ""asma yapragi""]",true,false
1a2f7e40-26de-4e2e-a353-1c600aae8c84,Aşurelik Buğday,false,false,Aşurelik Buğday,"[""aşurelik buğday"", ""yarma buğday"", ""wheat berries"", ""asurelik bugday""]",true,false
55494904-b1b3-4ad7-a120-74f7d31da8b6,Ayran,false,false,Ayran,"[""ayran"", ""yogurt drink"", ""taze ayran""]",true,false
a2957ae7-9f67-4b94-946d-8debe10d6f92,Ayva,false,false,Ayva,"[""ayva"", ""quince"", ""taze ayva""]",true,false
2de656e8-3f8f-49b5-be96-35c5ffa970e4,Badem İçi,false,false,Badem İçi,"[""badem içi"", ""almond kernels"", ""badem i̇çi"", ""badem ici""]",true,false
b1b96f10-b997-4021-b734-73b2c396270f,Bakla,false,false,Bakla,"[""bakla"", ""broad beans"", ""taze bakla""]",true,false
285197c6-ec73-4851-b33b-dfc5830fee4e,Bakla İçi,false,false,Bakla İçi,"[""iç bakla"", ""bakla içi"", ""peeled broad beans"", ""bakla i̇çi"", ""bakla ici""]",true,false
386f1896-07b0-4a2b-bb8c-fe0894facec0,Baklavalık Yufka,false,false,Baklavalık Yufka,"[""baklavalık yufka"", ""phyllo dough"", ""filo pastry"", ""baklavalik yufka""]",true,false
1d4c5657-d472-4c55-8654-964660fb0871,Baldo Pirinç,false,false,Baldo Pirinç,"[""baldo pirinç"", ""baldo rice"", ""baldo pirinc""]",true,false
209ece7a-b6e3-476a-9d5e-e575e9987de1,Bamya,false,false,Bamya,"[""bamya"", ""okra"", ""taze bamya""]",true,false
ac6a7fcd-3fc3-4cfd-8eb8-6cece0f6fa7c,Barbun,false,false,Barbun,"[""barbun"", ""red mullet"", ""taze barbun""]",true,false
a93eac63-1b8c-4aae-9837-d64690092ab6,Bazlama,false,false,Bazlama,"[""bazlama"", ""bazlama ekmeği"", ""taze bazlama""]",true,false
17dc8373-b205-4e23-91ee-d8867cdfc2fa,Beyaz Biber,false,false,Beyaz Biber,"[""beyaz biber"", ""white pepper""]",true,true
6eddd539-2585-4d37-bded-1a2658f97120,Beyaz Lahana,false,false,Beyaz Lahana,"[""beyaz lahana"", ""white cabbage"", ""lahana""]",true,false
2741a098-f4b1-48cf-8ff8-e1a7ae190b55,Beyaz Susam,false,false,Beyaz Susam,"[""beyaz susam"", ""white sesame""]",true,true
8462cd89-da4d-4a02-8464-2fd3b94cfcf1,Biber Salçası,false,false,Biber Salçası,"[""biber salçası"", ""pepper paste"", ""kırmızı biber salçası"", ""biber salcasi""]",true,true
d0db6fa4-4658-4c24-8ca4-10b36a88f50d,Biberiye,false,false,Biberiye,"[""biberiye"", ""rosemary"", ""taze biberiye""]",true,true
a47601c4-efdc-42be-b040-46c986fa47b7,Böğürtlen,false,false,Böğürtlen,"[""böğürtlen"", ""blackberry"", ""bogurtlen"", ""taze böğürtlen""]",true,false
02e5a3ea-592b-49fe-8a92-937c3586d36c,Börek Yufkası,false,false,Börek Yufkası,"[""börek yufkası"", ""borek sheets"", ""borek yufkasi""]",true,false
ad9665c7-652c-418d-8439-e30a497303c5,Börülce,false,false,Börülce,"[""börülce"", ""borulce"", ""black-eyed pea"", ""karnıkara"", ""taze börülce""]",true,false
80c0efb4-18a6-4b4d-9176-7eadd51a409a,Boza,false,false,Boza,"[""boza"", ""fermented millet drink"", ""taze boza""]",true,false
5c14fbf1-64e9-46b4-8339-dbf9d53c20e1,Brüksel Lahanası,false,false,Brüksel Lahanası,"[""brüksel lahanası"", ""brussels sprouts"", ""bruksel lahanasi""]",true,false
020a9014-81db-47c2-b3ce-9fc54ff9c810,Buğday Nişastası,false,false,Buğday Nişastası,"[""buğday nişastası"", ""wheat starch"", ""bugday nisastasi""]",true,false
28ce46a9-dedd-4f1b-a022-c6aa150a1a76,Çam Fıstığı,false,false,Çam Fıstığı,"[""çam fıstığı"", ""pine nuts"", ""cam fistigi""]",true,false
4060f7e5-b60f-4333-ad81-572541f2a760,Çarliston Biber,false,false,Çarliston Biber,"[""charleston biber"", ""çarliston"", ""çarli biber"", ""çarliston biber"", ""carliston biber""]",true,false
704d108a-7794-46c7-93f9-d67e76c3fe9b,Çeçil Peyniri,false,false,Çeçil Peyniri,"[""çeçil peyniri"", ""cecil cheese"", ""cecil peyniri""]",true,false
3d9dffda-1f8f-43cc-b61b-12c5ca4bd737,Ceviz İçi,false,false,Ceviz İçi,"[""ceviz içi"", ""walnut halves"", ""ceviz i̇çi"", ""ceviz ici""]",true,false
8e2c65e5-ff0c-4140-8a99-3a20638403d2,Çökelek,false,false,Çökelek,"[""çökelek"", ""cokelek"", ""curd cheese"", ""taze çökelek""]",true,false
38edc32f-0d61-4710-b81e-a3d76cab45e4,Çörek Otu,false,false,Çörek Otu,"[""çörek otu"", ""black cumin"", ""nigella"", ""corek otu""]",true,true
e6c46e2d-e683-4f68-95d5-6c8510f74a4d,Damla Sakızı,false,false,Damla Sakızı,"[""damla sakızı"", ""mastic"", ""damla sakizi""]",true,true
947155b6-efe2-40d6-a627-f4b3eb106f25,Dana Biftek,false,false,Dana Biftek,"[""dana biftek"", ""beef steak"", ""antrikot""]",true,false
9d0c1cd3-fcac-4dbd-84a3-5836f20bc8fb,Dana Bonfile,false,false,Dana Bonfile,"[""dana bonfile"", ""beef tenderloin"", ""bonfile""]",true,false
37100682-d20c-42fb-9214-90cff314d981,Dana Ciğeri,false,false,Dana Ciğeri,"[""dana ciğeri"", ""beef liver"", ""arnavut ciğeri"", ""dana cigeri""]",true,false
ce530eb9-7758-465a-aabd-7ceb2df0ce75,Dana Kuşbaşı,false,false,Dana Kuşbaşı,"[""dana kuşbaşı"", ""beef cubes"", ""stew beef"", ""dana kusbasi""]",true,false
e220e9a3-1248-451a-916f-1a6713664ce3,Defne Yaprağı,false,false,Defne Yaprağı,"[""defne yaprağı"", ""bay leaf"", ""laurel leaf"", ""defne yapragi""]",true,true
b45802ed-7d50-44b2-8f98-1e9d549f5e4b,Dil,false,false,Dil,"[""dil"", ""beef tongue"", ""taze dil""]",true,false
fbd990be-1e3a-4b11-ba9d-ef29279d3efb,Dil Peyniri,false,false,Dil Peyniri,"[""dil peyniri"", ""string cheese""]",true,false
1b829518-881c-48ff-9f05-e198898b6959,Dolmalık Biber,false,false,Dolmalık Biber,"[""dolmalik biber"", ""bell pepper"", ""dolma biberi"", ""dolmalık biber""]",true,false
e9b007c7-b944-4bcd-9fcf-410a96748f93,Domates Salçası,false,false,Domates Salçası,"[""domates salçası"", ""tomato paste"", ""salça"", ""domates salcasi""]",true,true
a58e3769-910f-4939-a0cd-1e5cda29f159,Dut,false,false,Dut,"[""dut"", ""mulberry"", ""kara dut"", ""taze dut""]",true,false
ebb792a2-ce84-444f-8154-b35864f99b64,Dut Pekmezi,false,false,Dut Pekmezi,"[""dut pekmezi"", ""mulberry molasses""]",true,true
f547862a-160d-46be-b40d-fa1a06e9e8f7,Elma Sirkesi,false,false,Elma Sirkesi,"[""elma sirkesi"", ""apple cider vinegar""]",true,true
5232e5b2-7406-4b69-a30a-82ce7f48deea,Enginar,false,false,Enginar,"[""enginar"", ""artichoke"", ""taze enginar""]",true,false
22136e0b-8174-4b29-bbfb-f90b09e1704f,Erik,false,false,Erik,"[""erik"", ""plum"", ""can eriği"", ""taze erik""]",true,false
176c0948-c748-447e-aeaa-e0ec6c9891be,Erişte,false,false,Erişte,"[""erişte"", ""egg noodles"", ""homemade erişte"", ""eriste"", ""taze erişte""]",true,false
6f76d03c-0204-4c56-a22e-8d69344fda1f,Esmer Şeker,false,false,Esmer Şeker,"[""esmer şeker"", ""brown sugar"", ""esmer seker""]",true,true
5e86143d-d26a-4ae6-aa1c-7000f179b834,Ezine Peyniri,false,false,Ezine Peyniri,"[""ezine peyniri"", ""ezine cheese""]",true,false
81f5d70b-f243-4753-8444-823e41554858,Fesleğen,false,false,Fesleğen,"[""fesleğen"", ""feslegen"", ""basil"", ""taze fesleğen""]",true,true
3286822b-725e-4f78-af95-f7ea36e74258,Fıstık,false,false,Fıstık,"[""fıstık"", ""peanut"", ""nuts"", ""fistik"", ""taze fıstık""]",true,false
eb88f100-30e8-48eb-9552-fcc063701c70,Galeta Unu,false,false,Galeta Unu,"[""galeta unu"", ""bread crumbs"", ""ekmek kırıntısı""]",true,true
6dd0657b-c1f7-4b60-8afb-7e8359c47e57,Greyfurt,false,false,Greyfurt,"[""greyfurt"", ""grapefruit"", ""taze greyfurt""]",true,false
4919d5b3-2028-4a3c-ad9b-d796e27a2dd4,Gül Suyu,false,false,Gül Suyu,"[""gül suyu"", ""rose water"", ""gul suyu""]",true,true
d1ce1aff-8a2d-4e38-801f-9d30e6c15b3b,Güllaç Yaprağı,false,false,Güllaç Yaprağı,"[""güllaç yaprağı"", ""gullac leaf"", ""milk phyllo sheets"", ""gullac yapragi""]",true,false
ff40e56b-5f55-47d1-8050-bdef2c8cffd6,Gün Kurusu Kayısı,false,false,Gün Kurusu Kayısı,"[""gün kurusu"", ""kuru kayısı"", ""sun-dried apricot"", ""gün kurusu kayısı"", ""gun kurusu kayisi""]",true,false
4081407b-0c1c-4efc-90e2-8805cac15d8f,Hake,false,false,Hake,"[""mezgit fileto"", ""hake"", ""taze hake""]",true,false
f469ff19-90c6-45e2-b89b-73b22b1b01f8,Hardal,false,false,Hardal,"[""hardal"", ""mustard"", ""taze hardal""]",true,true
7da8a4cb-be47-43dc-b129-3483ac825232,Hardal Tohumu,false,false,Hardal Tohumu,"[""hardal tohumu"", ""mustard seeds""]",true,true
ff2253ae-5307-47bb-8e10-a2cd0b1c9121,Haşhaş,false,false,Haşhaş,"[""haşhaş"", ""poppy seeds"", ""hashas"", ""taze haşhaş""]",true,true
55c208f2-9e34-429f-b542-17d8da77cbd5,Hellim,false,false,Hellim,"[""hellim"", ""halloumi"", ""taze hellim""]",true,false
7cb1cad7-c74a-47f4-bafe-5acf2e616e5a,Hindi But,false,false,Hindi But,"[""hindi but"", ""turkey leg""]",true,false
02526b8c-1338-442e-8376-085d5ba28d39,Hindi Füme,false,false,Hindi Füme,"[""hindi füme"", ""smoked turkey"", ""hindi fume""]",true,false
9f1dcbd9-bb2e-4aa7-bea2-20cb8f3cdb7b,Hurma,false,false,Hurma,"[""hurma"", ""date fruit"", ""medjool hurma"", ""taze hurma""]",true,false
d79ba95b-c5f1-49ef-b086-37ed7e7f632b,İnce Bulgur,false,false,İnce Bulgur,"[""ince bulgur"", ""fine bulgur"", ""köftelik bulgur"", ""i̇nce bulgur""]",true,false
c8b77842-f7dc-403b-98fa-4ab975ae4d11,İncir,false,false,İncir,"[""incir"", ""fig"", ""taze incir"", ""i̇ncir"", ""taze i̇ncir""]",true,false
8be58a3e-1e3d-41f8-a61a-7f4db4103338,İrmik,false,false,İrmik,"[""irmik"", ""semolina"", ""i̇rmik"", ""taze i̇rmik""]",true,false
01be3b9e-48b4-40bd-b717-f87863903c6f,İşkembe,false,false,İşkembe,"[""işkembe"", ""tripe"", ""i̇şkembe"", ""iskembe"", ""taze i̇şkembe""]",true,false
c5dbb474-95b4-48ac-9473-6a7b9d3b12d7,İsot,false,false,İsot,"[""isot"", ""urfa biberi"", ""isot pepper"", ""i̇sot"", ""taze i̇sot""]",true,true
76a8ef78-e77b-4cc5-951b-80c2309f8b4d,İstavrit,false,false,İstavrit,"[""istavrit"", ""horse mackerel"", ""i̇stavrit"", ""taze i̇stavrit""]",true,false
9a6ffdab-b423-4116-8cca-84b11858b8d4,İstiridye Mantarı,false,false,İstiridye Mantarı,"[""istiridye mantarı"", ""oyster mushroom"", ""i̇stiridye mantarı"", ""istiridye mantari""]",true,false
7f2214f0-6edc-4643-a23d-991afdd1699c,Jasmin Pirinç,false,false,Jasmin Pirinç,"[""jasmine rice"", ""yasemin pirinci"", ""jasmin pirinç"", ""jasmin pirinc""]",true,false
